analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
0	GCST90201021	GCST90201021	Carnitine levels	Carnitine levels	carnitine measurement	http://www.ebi.ac.uk/efo/EFO_0010469	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201021_GCST90201021.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201021/harmonised/GCST90201021.h.tsv.gz		GCST90201021_GCST90201021.filtered.tsv.gz	0c208e7e2bf5efc4d656dc3d6be958e4a7c6b8639be84727f93fbbdc79a338e7	sha256	287920	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.962697411274976	estimated_from_source_maf	sd	total	analysis_level	58	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
1	GCST90201022	GCST90201022	Glycerol 3-phosphate levels	Glycerol 3-phosphate levels	glycerol-3-phosphate measurement	http://www.ebi.ac.uk/efo/EFO_0010488	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201022_GCST90201022.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201022/harmonised/GCST90201022.h.tsv.gz		GCST90201022_GCST90201022.filtered.tsv.gz	82c16dda9c792111fe03b928f3d422ea6f6f6402ab45fc7d074920c3ccbccfc4	sha256	306532	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.966455940141921	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
2	GCST90201023	GCST90201023	Glucuronate levels	Glucuronate levels	glucuronate measurement	http://www.ebi.ac.uk/efo/EFO_0010486	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201023_GCST90201023.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201023/harmonised/GCST90201023.h.tsv.gz		GCST90201023_GCST90201023.filtered.tsv.gz	1513f6db6c3d4969c8caa6970a64065849d8e50ddfcaea7fe227eac59c644670	sha256	288301	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.838709289256978	estimated_from_source_maf	sd	total	analysis_level	57	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
3	GCST90201024	GCST90201024	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate measurement	http://www.ebi.ac.uk/efo/EFO_0021021	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201024_GCST90201024.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201024/harmonised/GCST90201024.h.tsv.gz		GCST90201024_GCST90201024.filtered.tsv.gz	f1cb86af39ffb334b337c37b472f14ffc2c0e8ef423a84ad8311837ffa82cc09	sha256	184871	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.836586199191309	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
4	GCST90201025	GCST90201025	3-methylhistidine levels	3-methylhistidine levels	3-methylhistidine measurement	http://www.ebi.ac.uk/efo/EFO_0021004	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201025_GCST90201025.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201025/harmonised/GCST90201025.h.tsv.gz		GCST90201025_GCST90201025.filtered.tsv.gz	4099ce1d797dd04c49fd2d4adcffac910e3ba96ea3714960418d32430c7d55d7	sha256	515712	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.940787801805463	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
5	GCST90201026	GCST90201026	Benzoate levels	Benzoate levels	benzoate measurement	http://www.ebi.ac.uk/efo/EFO_0021150	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201026_GCST90201026.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201026/harmonised/GCST90201026.h.tsv.gz		GCST90201026_GCST90201026.filtered.tsv.gz	8d82111026ca126bd4b734bff83c4bd2757066434bab06d8650512301b4ae4fb	sha256	181958	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.844366687856161	estimated_from_source_maf	sd	total	analysis_level	49	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
6	GCST90201027	GCST90201027	Methionine sulfoxide levels	Methionine sulfoxide levels	Methionine sulfoxide measurement	http://www.ebi.ac.uk/efo/EFO_0021650	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201027_GCST90201027.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201027/harmonised/GCST90201027.h.tsv.gz		GCST90201027_GCST90201027.filtered.tsv.gz	0dd968d798327bffd007d6764083234946e6c4cab474bf989c2586b84994f040	sha256	571754	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.96884026796881	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
7	GCST90201028	GCST90201028	Xanthurenate levels	Xanthurenate levels	xanthurenate measurement	http://www.ebi.ac.uk/efo/EFO_0010551	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201028_GCST90201028.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201028/harmonised/GCST90201028.h.tsv.gz		GCST90201028_GCST90201028.filtered.tsv.gz	3f04f4fc061ba54c5cdaa3142a4a0e2b7d54500be1a5cfa3a2aeabeabf67e7ff	sha256	872344	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.971801480556386	estimated_from_source_maf	sd	total	analysis_level	53	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
8	GCST90201029	GCST90201029	Hippurate levels	Hippurate levels	hippurate measurement	http://www.ebi.ac.uk/efo/EFO_0010992	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201029_GCST90201029.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201029/harmonised/GCST90201029.h.tsv.gz		GCST90201029_GCST90201029.filtered.tsv.gz	6c8a4a5365095ad70875a27ca3644ca6087cc07b98998e7e902888f021d2d858	sha256	323963	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.966682180615929	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
9	GCST90201030	GCST90201030	Phenylacetate levels	Phenylacetate levels	phenylacetate measurement	http://www.ebi.ac.uk/efo/EFO_0021012	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201030_GCST90201030.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201030/harmonised/GCST90201030.h.tsv.gz		GCST90201030_GCST90201030.filtered.tsv.gz	35bfa5f82fa5216263286ee6481a405d634a3c7f3a0318a15e592452c914828a	sha256	629863	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.869733368277222	estimated_from_source_maf	sd	total	analysis_level	55	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
10	GCST90201031	GCST90201031	Suberate (C8-DC) levels	Suberate (C8-DC) levels	suberate (C8-DC) measurement	http://www.ebi.ac.uk/efo/EFO_0800181	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201031_GCST90201031.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201031/harmonised/GCST90201031.h.tsv.gz		GCST90201031_GCST90201031.filtered.tsv.gz	fdeb17870d90fcecf6618a318425fcaf47ae2738df9bca1d553badb1557cbcee	sha256	781497	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.891736685637277	estimated_from_source_maf	sd	total	analysis_level	51	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
11	GCST90201032	GCST90201032	Glycerophosphorylcholine (GPC) levels	Glycerophosphorylcholine (GPC) levels	glycerophosphorylcholine measurement	http://www.ebi.ac.uk/efo/EFO_0020018	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201032_GCST90201032.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201032/harmonised/GCST90201032.h.tsv.gz		GCST90201032_GCST90201032.filtered.tsv.gz	37f5cb46eec3004b064e7cd0c3caebc9306a0f660bc7c8c885a74ecb2fd4804a	sha256	187055	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.951489482452627	estimated_from_source_maf	sd	total	analysis_level	59	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
12	GCST90201033	GCST90201033	Kynurenine levels	Kynurenine levels	kynurenine measurement	http://www.ebi.ac.uk/efo/EFO_0008529	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201033_GCST90201033.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201033/harmonised/GCST90201033.h.tsv.gz		GCST90201033_GCST90201033.filtered.tsv.gz	aa68f744eebbb99b44c2746da007e410351fff6ec1b24ec7002a572b94b0bb0e	sha256	1014516	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.96456339488831	estimated_from_source_maf	sd	total	analysis_level	60	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
13	GCST90201034	GCST90201034	Maltotriose levels	Maltotriose levels	maltotriose measurement	http://www.ebi.ac.uk/efo/EFO_0800142	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-african/filtered/GCST90201034_GCST90201034.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201034/harmonised/GCST90201034.h.tsv.gz		GCST90201034_GCST90201034.filtered.tsv.gz	8d47bc9d203449f77e5dece2b97b2981a062c30b4260f5d3d87b410addfef749	sha256	561113	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	African	AFR	af_assigned	sd	0.741141082630486	estimated_from_source_maf	sd	total	analysis_level	33	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
