analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90201021	GCST90201021	passed	""	source	""	0.962697411274976	estimated_from_source_maf	11773	11773	0	0	0	0	11773	0.01	0.5	0.962697411274976	0.0654122064747693	median implied SD=0.963, dispersion=0.065, n=11773	effect_scale_validation.R:v1
GCST90201022	GCST90201022	passed	""	source	""	0.966455940141921	estimated_from_source_maf	12890	12890	0	0	0	0	12890	0.01	0.5	0.966455940141921	0.0701663906670691	median implied SD=0.966, dispersion=0.070, n=12890	effect_scale_validation.R:v1
GCST90201023	GCST90201023	passed	""	source	""	0.838709289256978	estimated_from_source_maf	12047	12047	0	0	0	0	12047	0.01	0.5	0.838709289256978	0.0659155282486501	median implied SD=0.839, dispersion=0.066, n=12047	effect_scale_validation.R:v1
GCST90201024	GCST90201024	passed	""	source	""	0.836586199191309	estimated_from_source_maf	6703	6703	0	0	0	0	6703	0.01	0.5	0.836586199191309	0.0689633209261545	median implied SD=0.837, dispersion=0.069, n=6703	effect_scale_validation.R:v1
GCST90201025	GCST90201025	passed	""	source	""	0.940787801805463	estimated_from_source_maf	22889	22889	0	0	0	0	22889	0.01	0.5	0.940787801805463	0.0607542610297398	median implied SD=0.941, dispersion=0.061, n=22889	effect_scale_validation.R:v1
GCST90201026	GCST90201026	passed	""	source	""	0.844366687856161	estimated_from_source_maf	6627	6627	0	0	0	0	6627	0.01	0.5	0.844366687856161	0.0750543492212188	median implied SD=0.844, dispersion=0.075, n=6627	effect_scale_validation.R:v1
GCST90201027	GCST90201027	passed	""	source	""	0.96884026796881	estimated_from_source_maf	25248	25248	0	0	0	0	25248	0.01	0.5	0.96884026796881	0.0617528566316462	median implied SD=0.969, dispersion=0.062, n=25248	effect_scale_validation.R:v1
GCST90201028	GCST90201028	passed	""	source	""	0.971801480556386	estimated_from_source_maf	41856	41856	0	0	0	0	41856	0.01	0.5	0.971801480556386	0.0644972056804735	median implied SD=0.972, dispersion=0.064, n=41856	effect_scale_validation.R:v1
GCST90201029	GCST90201029	passed	""	source	""	0.966682180615929	estimated_from_source_maf	13584	13584	0	0	0	0	13584	0.01	0.5	0.966682180615929	0.0682331475461867	median implied SD=0.967, dispersion=0.068, n=13584	effect_scale_validation.R:v1
GCST90201030	GCST90201030	passed	""	source	""	0.869733368277222	estimated_from_source_maf	29558	29558	0	0	0	0	29558	0.01	0.5	0.869733368277222	0.0646578488215953	median implied SD=0.870, dispersion=0.065, n=29558	effect_scale_validation.R:v1
GCST90201031	GCST90201031	passed	""	source	""	0.891736685637277	estimated_from_source_maf	37515	37515	0	0	0	0	37515	0.01	0.5	0.891736685637277	0.066485060269475	median implied SD=0.892, dispersion=0.066, n=37515	effect_scale_validation.R:v1
GCST90201032	GCST90201032	passed	""	source	""	0.951489482452627	estimated_from_source_maf	6777	6777	0	0	0	0	6777	0.01	0.5	0.951489482452627	0.0686378629615382	median implied SD=0.951, dispersion=0.069, n=6777	effect_scale_validation.R:v1
GCST90201033	GCST90201033	passed	""	source	""	0.96456339488831	estimated_from_source_maf	49877	49877	0	0	0	1	49876	0.01	0.5	0.96456339488831	0.0600653015653698	median implied SD=0.965, dispersion=0.060, n=49876	effect_scale_validation.R:v1
GCST90201034	GCST90201034	passed	""	source	""	0.741141082630486	estimated_from_source_maf	27027	27027	0	0	0	0	27027	0.01	0.5	0.741141082630486	0.078955094100884	median implied SD=0.741, dispersion=0.079, n=27027	effect_scale_validation.R:v1
GCST90201035	GCST90201035	passed	""	source	""	0.961831830226439	estimated_from_source_maf	32767	32767	0	0	0	0	32767	0.01	0.5	0.961831830226439	0.0603100312648312	median implied SD=0.962, dispersion=0.060, n=32767	effect_scale_validation.R:v1
GCST90201036	GCST90201036	passed	""	source	""	0.912512493707187	estimated_from_source_maf	24877	24877	0	0	0	0	24877	0.01	0.5	0.912512493707187	0.0672529125915745	median implied SD=0.913, dispersion=0.067, n=24877	effect_scale_validation.R:v1
GCST90201037	GCST90201037	passed	""	source	""	0.903380282033935	estimated_from_source_maf	60900	60900	0	0	0	0	60900	0.01	0.5	0.903380282033935	0.0649058937623978	median implied SD=0.903, dispersion=0.065, n=60900	effect_scale_validation.R:v1
GCST90201038	GCST90201038	passed	""	source	""	0.895694837089612	estimated_from_source_maf	7006	7006	0	0	0	0	7006	0.01	0.5	0.895694837089612	0.0726257086312502	median implied SD=0.896, dispersion=0.073, n=7006	effect_scale_validation.R:v1
GCST90201039	GCST90201039	passed	""	source	""	0.928191810153776	estimated_from_source_maf	147031	147031	0	0	0	0	147031	0.01	0.5	0.928191810153776	0.0672362399515032	median implied SD=0.928, dispersion=0.067, n=147031	effect_scale_validation.R:v1
GCST90201040	GCST90201040	passed	""	source	""	0.895528858063748	estimated_from_source_maf	6792	6792	0	0	0	0	6792	0.01	0.5	0.895528858063748	0.0683746752784173	median implied SD=0.896, dispersion=0.068, n=6792	effect_scale_validation.R:v1
GCST90201041	GCST90201041	passed	""	source	""	1.03109989200406	estimated_from_source_maf	96347	96347	0	0	0	1	96346	0.01	0.5	1.03109989200406	0.0602631144931538	median implied SD=1.031, dispersion=0.060, n=96346	effect_scale_validation.R:v1
GCST90201042	GCST90201042	passed	""	source	""	0.974607850273262	estimated_from_source_maf	54492	54492	0	0	0	0	54492	0.01	0.5	0.974607850273262	0.061263904047558	median implied SD=0.975, dispersion=0.061, n=54492	effect_scale_validation.R:v1
GCST90201043	GCST90201043	passed	""	source	""	0.934540679014518	estimated_from_source_maf	6711	6711	0	0	0	0	6711	0.01	0.5	0.934540679014518	0.0677793900298305	median implied SD=0.935, dispersion=0.068, n=6711	effect_scale_validation.R:v1
GCST90201044	GCST90201044	passed	""	source	""	0.748890547248328	estimated_from_source_maf	32066	32066	0	0	0	0	32066	0.01	0.5	0.748890547248328	0.0704885823788751	median implied SD=0.749, dispersion=0.070, n=32066	effect_scale_validation.R:v1
GCST90201045	GCST90201045	passed	""	source	""	0.922624510263552	estimated_from_source_maf	21565	21565	0	0	0	2	21563	0.01	0.5	0.922624510263552	0.0600544251596893	median implied SD=0.923, dispersion=0.060, n=21563	effect_scale_validation.R:v1
GCST90201046	GCST90201046	passed	""	source	""	0.931911729274226	estimated_from_source_maf	6753	6753	0	0	0	0	6753	0.01	0.5	0.931911729274226	0.0685303093838276	median implied SD=0.932, dispersion=0.069, n=6753	effect_scale_validation.R:v1
GCST90201047	GCST90201047	passed	""	source	""	0.886430484529638	estimated_from_source_maf	19868	19868	0	0	0	0	19868	0.01	0.5	0.886430484529638	0.0666752485276162	median implied SD=0.886, dispersion=0.067, n=19868	effect_scale_validation.R:v1
GCST90201048	GCST90201048	passed	""	source	""	0.827566240018728	estimated_from_source_maf	21692	21692	0	0	0	0	21692	0.01	0.5	0.827566240018728	0.0622320440662356	median implied SD=0.828, dispersion=0.062, n=21692	effect_scale_validation.R:v1
GCST90201049	GCST90201049	passed	""	source	""	0.940856414650334	estimated_from_source_maf	12406	12406	0	0	0	0	12406	0.01	0.5	0.940856414650334	0.0616008019624785	median implied SD=0.941, dispersion=0.062, n=12406	effect_scale_validation.R:v1
GCST90201050	GCST90201050	passed	""	source	""	0.969729162690939	estimated_from_source_maf	13340	13340	0	0	0	0	13340	0.01	0.5	0.969729162690939	0.0672825836576177	median implied SD=0.970, dispersion=0.067, n=13340	effect_scale_validation.R:v1
GCST90201051	GCST90201051	passed	""	source	""	0.862284041817812	estimated_from_source_maf	12995	12995	0	0	0	0	12995	0.01	0.5	0.862284041817812	0.06531446642096	median implied SD=0.862, dispersion=0.065, n=12995	effect_scale_validation.R:v1
GCST90201052	GCST90201052	passed	""	source	""	0.895585556609111	estimated_from_source_maf	18906	18906	0	0	0	0	18906	0.01	0.5	0.895585556609111	0.0657085206100524	median implied SD=0.896, dispersion=0.066, n=18906	effect_scale_validation.R:v1
