analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	qc_panel_rows	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90202055	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202055/harmonised/GCST90202055.h.tsv.gz	87523336	4210984	5791	0.001375	0	0	0	20	5771	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202055_GCST90202055.filtered.tsv.gz	161260	sha256	fe0f2834447b0e88b4936733e0937348898b6aa3e02883e47b3a81a84fbcc69d	6.7	10.6	17.4
GCST90202056	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202056/harmonised/GCST90202056.h.tsv.gz	85702675	4145602	5680	0.00137	0	0	0	21	5659	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202056_GCST90202056.filtered.tsv.gz	158808	sha256	ff8b5580f2d477e534d9084a9f513b1294225584d3256989f95a5cafa1c2570b	4.1	11.7	15.8
GCST90202057	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202057/harmonised/GCST90202057.h.tsv.gz	83783207	4218615	5792	0.001373	0	0	0	18	5774	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202057_GCST90202057.filtered.tsv.gz	161326	sha256	56579010ca30514828ca174807d57751bbdc9b4fca1d15bad0809b12b9093140	3.1	10.8	13.9
GCST90202058	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202058/harmonised/GCST90202058.h.tsv.gz	80809284	4085955	5600	0.001371	0	0	0	28	5572	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202058_GCST90202058.filtered.tsv.gz	156673	sha256	016d7e79952f29a9eb2d969801ab2e46ccadb9891c9f4424aa06aedcf14912ee	5.5	10.9	16.4
GCST90202059	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202059/harmonised/GCST90202059.h.tsv.gz	81539968	4086482	5584	0.001366	0	0	0	22	5562	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202059_GCST90202059.filtered.tsv.gz	155046	sha256	d74c7a6bf56af144223f09b7843413a8e5d3c376603baf4a60a17b715a81f79a	5.1	10.7	15.8
GCST90202060	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202060/harmonised/GCST90202060.h.tsv.gz	80453614	4125284	12818	0.003107	0	2	7180	31	5616	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202060_GCST90202060.filtered.tsv.gz	293666	sha256	78e009e307285b8cb5ac2a8a094687fd376823ccdb585091d81d5754ae418926	5.3	11.3	16.6
GCST90202061	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202061/harmonised/GCST90202061.h.tsv.gz	82990796	4171012	5711	0.001369	0	0	0	15	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202061_GCST90202061.filtered.tsv.gz	159179	sha256	0a46d89139f1a2edcd5f54c45944cbbf9a5826526bc536d081eb8afcb0cb6b62	5.6	10.6	16.1
GCST90202062	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202062/harmonised/GCST90202062.h.tsv.gz	82936419	4171012	5711	0.001369	0	0	0	15	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202062_GCST90202062.filtered.tsv.gz	159128	sha256	2be4e6fbf778573b633aaffc849fa49d5fb6f966ac5f7cff964a7b6814b8e68e	6.3	10.9	17.2
GCST90202063	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202063/harmonised/GCST90202063.h.tsv.gz	83425649	4201699	5765	0.001372	0	0	0	23	5742	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202063_GCST90202063.filtered.tsv.gz	160569	sha256	58479ed1c82e6ec978f983a876027eee1fb36e0705078c07b8dcafd45d88f42a	5.4	10.6	15.9
GCST90202064	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202064/harmonised/GCST90202064.h.tsv.gz	87832597	4202023	5756	0.00137	0	0	0	15	5741	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202064_GCST90202064.filtered.tsv.gz	160435	sha256	89a176ec77669ccace7f2355863f364c3bf885452cc3af93cee5ed9616de43ca	6.5	11	17.5
