analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90202055	GCST90202055	passed	""	source	""	0.942918661443161	estimated_from_source_maf	5791	5791	0	0	0	0	5791	0.01	0.5	0.942918661443161	0.0545575134323703	median implied SD=0.943, dispersion=0.055, n=5791	effect_scale_validation.R:v1
GCST90202056	GCST90202056	passed	""	source	""	0.960820580744407	estimated_from_source_maf	5680	5680	0	0	0	0	5680	0.01	0.5	0.960820580744407	0.055306680210262	median implied SD=0.961, dispersion=0.055, n=5680	effect_scale_validation.R:v1
GCST90202057	GCST90202057	passed	""	source	""	0.961862829180891	estimated_from_source_maf	5792	5792	0	0	0	0	5792	0.01	0.5	0.961862829180891	0.0548211988290363	median implied SD=0.962, dispersion=0.055, n=5792	effect_scale_validation.R:v1
GCST90202058	GCST90202058	passed	""	source	""	0.866079927593748	estimated_from_source_maf	5600	5600	0	0	0	0	5600	0.01	0.5	0.866079927593748	0.0554136842650816	median implied SD=0.866, dispersion=0.055, n=5600	effect_scale_validation.R:v1
GCST90202059	GCST90202059	passed	""	source	""	0.961538561581214	estimated_from_source_maf	5584	5584	0	0	0	1	5583	0.01	0.5	0.961538561581214	0.0654954097367561	median implied SD=0.962, dispersion=0.065, n=5583	effect_scale_validation.R:v1
GCST90202060	GCST90202060	passed	""	source	""	0.965707502258894	estimated_from_source_maf	12818	12818	0	0	0	0	12818	0.01	0.5	0.965707502258894	0.0590421434794294	median implied SD=0.966, dispersion=0.059, n=12818	effect_scale_validation.R:v1
GCST90202061	GCST90202061	passed	""	source	""	0.938336792949632	estimated_from_source_maf	5711	5711	0	0	0	0	5711	0.01	0.5	0.938336792949632	0.0529601298182201	median implied SD=0.938, dispersion=0.053, n=5711	effect_scale_validation.R:v1
GCST90202062	GCST90202062	passed	""	source	""	0.872171243879219	estimated_from_source_maf	5711	5711	0	0	0	0	5711	0.01	0.5	0.872171243879219	0.053521706176665	median implied SD=0.872, dispersion=0.054, n=5711	effect_scale_validation.R:v1
GCST90202063	GCST90202063	passed	""	source	""	0.939734914851132	estimated_from_source_maf	5765	5765	0	0	0	0	5765	0.01	0.5	0.939734914851132	0.0537742384662075	median implied SD=0.940, dispersion=0.054, n=5765	effect_scale_validation.R:v1
GCST90202064	GCST90202064	passed	""	source	""	0.930110181575125	estimated_from_source_maf	5756	5756	0	0	0	0	5756	0.01	0.5	0.930110181575125	0.0534973611722242	median implied SD=0.930, dispersion=0.053, n=5756	effect_scale_validation.R:v1
GCST90202065	GCST90202065	passed	""	source	""	1.01180287604238	estimated_from_source_maf	9438	9438	0	0	0	0	9438	0.01	0.5	1.01180287604238	0.0590919525927123	median implied SD=1.012, dispersion=0.059, n=9438	effect_scale_validation.R:v1
GCST90202066	GCST90202066	passed	""	source	""	0.980799367775472	estimated_from_source_maf	8601	8601	0	0	0	0	8601	0.01	0.5	0.980799367775472	0.0511056169359295	median implied SD=0.981, dispersion=0.051, n=8601	effect_scale_validation.R:v1
GCST90202067	GCST90202067	passed	""	source	""	0.952913534991214	estimated_from_source_maf	16224	16224	0	0	0	2	16222	0.01	0.5	0.952913534991214	0.0606214708636787	median implied SD=0.953, dispersion=0.061, n=16222	effect_scale_validation.R:v1
GCST90202068	GCST90202068	passed	""	source	""	0.963608467468369	estimated_from_source_maf	5714	5714	0	0	0	0	5714	0.01	0.5	0.963608467468369	0.0532546264693561	median implied SD=0.964, dispersion=0.053, n=5714	effect_scale_validation.R:v1
GCST90202069	GCST90202069	passed	""	source	""	0.922021825423452	estimated_from_source_maf	5782	5782	0	0	0	0	5782	0.01	0.5	0.922021825423452	0.0542440242175309	median implied SD=0.922, dispersion=0.054, n=5782	effect_scale_validation.R:v1
GCST90202070	GCST90202070	passed	""	source	""	0.959344579125085	estimated_from_source_maf	8785	8785	0	0	0	0	8785	0.01	0.5	0.959344579125085	0.0583364436960007	median implied SD=0.959, dispersion=0.058, n=8785	effect_scale_validation.R:v1
GCST90202071	GCST90202071	passed	""	source	""	0.960779368736966	estimated_from_source_maf	5736	5736	0	0	0	0	5736	0.01	0.5	0.960779368736966	0.0539188735507789	median implied SD=0.961, dispersion=0.054, n=5736	effect_scale_validation.R:v1
GCST90202072	GCST90202072	passed	""	source	""	0.977563039995665	estimated_from_source_maf	5741	5741	0	0	0	0	5741	0.01	0.5	0.977563039995665	0.0542654358246043	median implied SD=0.978, dispersion=0.054, n=5741	effect_scale_validation.R:v1
GCST90202073	GCST90202073	passed	""	source	""	0.974583464670696	estimated_from_source_maf	5753	5753	0	0	0	0	5753	0.01	0.5	0.974583464670696	0.0541356984959264	median implied SD=0.975, dispersion=0.054, n=5753	effect_scale_validation.R:v1
GCST90202074	GCST90202074	passed	""	source	""	0.972812791958992	estimated_from_source_maf	9166	9166	0	0	0	0	9166	0.01	0.5	0.972812791958992	0.0496975917568498	median implied SD=0.973, dispersion=0.050, n=9166	effect_scale_validation.R:v1
GCST90202075	GCST90202075	passed	""	source	""	0.964763011975664	estimated_from_source_maf	21085	21085	0	0	0	0	21085	0.01	0.5	0.964763011975664	0.0541722883043762	median implied SD=0.965, dispersion=0.054, n=21085	effect_scale_validation.R:v1
GCST90202076	GCST90202076	passed	""	source	""	0.994519972852373	estimated_from_source_maf	5763	5763	0	0	0	0	5763	0.01	0.5	0.994519972852373	0.0541082051095731	median implied SD=0.995, dispersion=0.054, n=5763	effect_scale_validation.R:v1
