analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
0	GCST90203093	GCST90203093	Carnitine levels	Carnitine levels	carnitine measurement	http://www.ebi.ac.uk/efo/EFO_0010469	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203093_GCST90203093.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203093/harmonised/GCST90203093.h.tsv.gz		GCST90203093_GCST90203093.filtered.tsv.gz	fec6e92af6dc49d00784b859cb1d87a93824a5be6b4d68ea60d8a2fe002eae4b	sha256	283702	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	0.976170492276285	estimated_from_source_maf	sd	total	analysis_level	107	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
1	GCST90203094	GCST90203094	Benzoate levels	Benzoate levels	benzoate measurement	http://www.ebi.ac.uk/efo/EFO_0021150	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203094_GCST90203094.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203094/harmonised/GCST90203094.h.tsv.gz		GCST90203094_GCST90203094.filtered.tsv.gz	feb5175a6aab49bda485d0a6f3c657eb444b15bec53f74f3871545bc9ab7901e	sha256	197604	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	1.00122310165044	estimated_from_source_maf	sd	total	analysis_level	99	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
2	GCST90203095	GCST90203095	Glycodeoxycholate levels	Glycodeoxycholate levels	glycodeoxycholate measurement	http://www.ebi.ac.uk/efo/EFO_0010493	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203095_GCST90203095.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203095/harmonised/GCST90203095.h.tsv.gz		GCST90203095_GCST90203095.filtered.tsv.gz	72eb75d299e3f35f0b71b711eb0af8d2d651dd4ad65b49c2ae4218acba98d6c3	sha256	136739	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	0.969189959850346	estimated_from_source_maf	sd	total	analysis_level	69	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
3	GCST90203096	GCST90203096	Tartarate levels	Tartarate levels	tartarate measurement	http://www.ebi.ac.uk/efo/EFO_0800941	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203096_GCST90203096.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203096/harmonised/GCST90203096.h.tsv.gz		GCST90203096_GCST90203096.filtered.tsv.gz	d7bc83dd7d7e7496c8a3dca0c7328dd17135500717a95bd7ba0f02327d6158ef	sha256	143346	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	0.943320621021067	estimated_from_source_maf	sd	total	analysis_level	94	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
4	GCST90203097	GCST90203097	Ribitol levels	Ribitol levels	ribitol measurement	http://www.ebi.ac.uk/efo/EFO_0800143	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203097_GCST90203097.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203097/harmonised/GCST90203097.h.tsv.gz		GCST90203097_GCST90203097.filtered.tsv.gz	17fc986265a567727344ff9e5ccc62bd811d02b578b94cd617fef1e686d5ae19	sha256	203341	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	0.969911453985366	estimated_from_source_maf	sd	total	analysis_level	104	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
5	GCST90203098	GCST90203098	Theophylline levels	Theophylline levels	theophylline measurement	http://www.ebi.ac.uk/efo/EFO_0021180	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203098_GCST90203098.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203098/harmonised/GCST90203098.h.tsv.gz		GCST90203098_GCST90203098.filtered.tsv.gz	9c3b7476d69c9dcaef59624eba66c027b0ab6a509cb72c39d617806f89a3df42	sha256	218160	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	1.006427563181	estimated_from_source_maf	sd	total	analysis_level	100	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
6	GCST90203099	GCST90203099	N-alpha-acetylornithine levels	N-alpha-acetylornithine levels	N-alpha-acetylornithine measurement	http://www.ebi.ac.uk/efo/EFO_0800006	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203099_GCST90203099.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203099/harmonised/GCST90203099.h.tsv.gz		GCST90203099_GCST90203099.filtered.tsv.gz	a4fffb022192d0a5912cef8ffda660bcadb3bcab0bd6f29acedc6d0003a88df9	sha256	147409	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	0.95502388276366	estimated_from_source_maf	sd	total	analysis_level	70	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
7	GCST90203100	GCST90203100	Suberate (C8-DC) levels	Suberate (C8-DC) levels	suberate (C8-DC) measurement	http://www.ebi.ac.uk/efo/EFO_0800181	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203100_GCST90203100.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203100/harmonised/GCST90203100.h.tsv.gz		GCST90203100_GCST90203100.filtered.tsv.gz	b64ba2c4af15bb3d48c1f8cd99602958d41d6a2819be1351ec0d125dc83a76eb	sha256	138155	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	0.994295745156096	estimated_from_source_maf	sd	total	analysis_level	88	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
8	GCST90203101	GCST90203101	Phenylacetate levels	Phenylacetate levels	phenylacetate measurement	http://www.ebi.ac.uk/efo/EFO_0021012	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203101_GCST90203101.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203101/harmonised/GCST90203101.h.tsv.gz		GCST90203101_GCST90203101.filtered.tsv.gz	e751936c3d1c781969ecd9a2188d5aab8e9183f5529fde8034be3226dd1aaa3e	sha256	144018	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	0.926361749899018	estimated_from_source_maf	sd	total	analysis_level	73	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
9	GCST90203102	GCST90203102	Maltotriose levels	Maltotriose levels	maltotriose measurement	http://www.ebi.ac.uk/efo/EFO_0800142	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203102_GCST90203102.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203102/harmonised/GCST90203102.h.tsv.gz		GCST90203102_GCST90203102.filtered.tsv.gz	02015c644150e665236790994b5ffd7e2161eb0a9ac12324026738832f806dd0	sha256	189546	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	South Asian	SAS	af_assigned	sd	0.969532876115082	estimated_from_source_maf	sd	total	analysis_level	65	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
