analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS	source_assigned_mismatch	ancestry_notes
GCST90203093	GCST90203093	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	10445	SAS	0.931319	0.862639	0.0332167	ok	0	0	0	0.0686806	0	0	0.931319	false	dominant=SAS proportion=0.931 margin=0.863 overlap=10445 residual=0.0332
GCST90203094	GCST90203094	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	6866	SAS	0.947581	0.906077	0.034738	ok	0.000170075	0	0	0.0107441	0.0415044	0	0.947581	false	dominant=SAS proportion=0.948 margin=0.906 overlap=6866 residual=0.0347
GCST90203095	GCST90203095	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	4908	SAS	0.925904	0.884252	0.0410826	ok	0.00446443	0	0	0.0416513	0.0279806	0	0.925904	false	dominant=SAS proportion=0.926 margin=0.884 overlap=4908 residual=0.0411
GCST90203096	GCST90203096	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	5113	SAS	0.922868	0.872545	0.0370703	ok	0.00198774	0	0	0.0503226	0.0248219	0	0.922868	false	dominant=SAS proportion=0.923 margin=0.873 overlap=5113 residual=0.0371
GCST90203097	GCST90203097	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	7445	SAS	0.936546	0.894086	0.0336933	ok	0	0.00226553	0	0.04246	0.0187284	0	0.936546	false	dominant=SAS proportion=0.937 margin=0.894 overlap=7445 residual=0.0337
GCST90203098	GCST90203098	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	7962	SAS	0.857338	0.749794	0.0353036	ok	0.00503966	0	0	0.107544	0.0300786	0	0.857338	false	dominant=SAS proportion=0.857 margin=0.750 overlap=7962 residual=0.0353
GCST90203099	GCST90203099	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	5299	SAS	0.927611	0.879302	0.0412121	ok	0.00572357	0	0	0.0483086	0.018357	0	0.927611	false	dominant=SAS proportion=0.928 margin=0.879 overlap=5299 residual=0.0412
GCST90203100	GCST90203100	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	4939	SAS	0.935973	0.8859	0.0374247	ok	0.00309041	0	0	0.0500731	0.0108637	0	0.935973	false	dominant=SAS proportion=0.936 margin=0.886 overlap=4939 residual=0.0374
GCST90203101	GCST90203101	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	5158	SAS	0.93261	0.878755	0.0405284	ok	0.00132019	0	0	0.0538553	0.0122141	0	0.93261	false	dominant=SAS proportion=0.933 margin=0.879 overlap=5158 residual=0.0405
GCST90203102	GCST90203102	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	7012	SAS	0.956326	0.931359	0.0398711	ok	0	0	0	0.0249672	0.0187069	0	0.956326	false	dominant=SAS proportion=0.956 margin=0.931 overlap=7012 residual=0.0399
GCST90203103	GCST90203103	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	4986	SAS	0.924093	0.875231	0.0350133	ok	0.00304912	0	0	0.0488619	0.0239958	0	0.924093	false	dominant=SAS proportion=0.924 margin=0.875 overlap=4986 residual=0.0350
GCST90203104	GCST90203104	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	5017	SAS	0.924882	0.875039	0.0351165	ok	0.00277714	0	0	0.0498428	0.0224978	0	0.924882	false	dominant=SAS proportion=0.925 margin=0.875 overlap=5017 residual=0.0351
GCST90203105	GCST90203105	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	4984	SAS	0.923917	0.875429	0.0349838	ok	0.00309059	0	0	0.0484882	0.024504	0	0.923917	false	dominant=SAS proportion=0.924 margin=0.875 overlap=4984 residual=0.0350
GCST90203106	GCST90203106	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	4979	SAS	0.924075	0.875295	0.0349923	ok	0.00304251	0	0	0.0487797	0.0241031	0	0.924075	false	dominant=SAS proportion=0.924 margin=0.875 overlap=4979 residual=0.0350
GCST90203107	GCST90203107	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	10067	SAS	0.928683	0.864359	0.0364791	ok	0	0	0	0.0643241	0.00699266	0	0.928683	false	dominant=SAS proportion=0.929 margin=0.864 overlap=10067 residual=0.0365
GCST90203108	GCST90203108	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	4980	SAS	0.924135	0.875472	0.0350055	ok	0.00312431	0	0	0.0486636	0.024077	0	0.924135	false	dominant=SAS proportion=0.924 margin=0.875 overlap=4980 residual=0.0350
GCST90203109	GCST90203109	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	4990	SAS	0.923359	0.874833	0.035072	ok	0.00308899	0	0	0.048526	0.0250262	0	0.923359	false	dominant=SAS proportion=0.923 margin=0.875 overlap=4990 residual=0.0351
GCST90203110	GCST90203110	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	12187	SAS	0.959873	0.936645	0.0320576	ok	0.00400007	0	0	0.012899	0.0232279	0	0.959873	false	dominant=SAS proportion=0.960 margin=0.937 overlap=12187 residual=0.0321
GCST90203111	GCST90203111	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	5207	SAS	0.92042	0.877161	0.0373222	ok	0.000836162	0	0	0.0432589	0.035485	0	0.92042	false	dominant=SAS proportion=0.920 margin=0.877 overlap=5207 residual=0.0373
GCST90203112	GCST90203112	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	15787	SAS	0.888018	0.834156	0.0338778	ok	0.00740518	0	0	0.0507148	0.0538619	0	0.888018	false	dominant=SAS proportion=0.888 margin=0.834 overlap=15787 residual=0.0339
GCST90203113	GCST90203113	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	5191	SAS	0.914584	0.862014	0.0362178	ok	0.00247038	0	0	0.0525702	0.0303754	0	0.914584	false	dominant=SAS proportion=0.915 margin=0.862 overlap=5191 residual=0.0362
GCST90203114	GCST90203114	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	7846	SAS	0.900521	0.813175	0.0331142	ok	0.0121326	0	0	0.0873463	0	0	0.900521	false	dominant=SAS proportion=0.901 margin=0.813 overlap=7846 residual=0.0331
GCST90203115	GCST90203115	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	4977	SAS	0.923349	0.874913	0.0350056	ok	0.00314554	0	0	0.0484365	0.0250687	0	0.923349	false	dominant=SAS proportion=0.923 margin=0.875 overlap=4977 residual=0.0350
GCST90203116	GCST90203116	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	4981	SAS	0.924011	0.8754	0.0349838	ok	0.0030324	0	0	0.0486112	0.0243455	0	0.924011	false	dominant=SAS proportion=0.924 margin=0.875 overlap=4981 residual=0.0350
GCST90203117	GCST90203117	South Asian	SAS	af_assigned	ukb-ancestry-mixture-hg38	10223	SAS	0.905298	0.852067	0.0351988	ok	0	0.0147071	0	0.0532313	0.0267631	0	0.905298	false	dominant=SAS proportion=0.905 margin=0.852 overlap=10223 residual=0.0352
