analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	qc_panel_rows	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90203093	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203093/harmonised/GCST90203093.h.tsv.gz	86557829	4278088	12189	0.002849	0	2	7157	29	5012	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203093_GCST90203093.filtered.tsv.gz	283702	sha256	fec6e92af6dc49d00784b859cb1d87a93824a5be6b4d68ea60d8a2fe002eae4b	8.5	10.8	19.2
GCST90203094	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203094/harmonised/GCST90203094.h.tsv.gz	85240932	4244669	7906	0.001863	0	1	2924	30	4956	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203094_GCST90203094.filtered.tsv.gz	197604	sha256	feb5175a6aab49bda485d0a6f3c657eb444b15bec53f74f3871545bc9ab7901e	5.6	10.5	16.1
GCST90203095	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203095/harmonised/GCST90203095.h.tsv.gz	80588965	4176707	4919	0.001178	0	0	0	17	4902	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203095_GCST90203095.filtered.tsv.gz	136739	sha256	72eb75d299e3f35f0b71b711eb0af8d2d651dd4ad65b49c2ae4218acba98d6c3	5.4	10.1	15.6
GCST90203096	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203096/harmonised/GCST90203096.h.tsv.gz	86674057	4331238	5124	0.001183	0	0	0	22	5102	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203096_GCST90203096.filtered.tsv.gz	143346	sha256	d7bc83dd7d7e7496c8a3dca0c7328dd17135500717a95bd7ba0f02327d6158ef	11.2	10.5	21.6
GCST90203097	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203097/harmonised/GCST90203097.h.tsv.gz	91834313	4326508	8296	0.001917	0	1	3180	21	5098	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203097_GCST90203097.filtered.tsv.gz	203341	sha256	17fc986265a567727344ff9e5ccc62bd811d02b578b94cd617fef1e686d5ae19	5.5	11.8	17.3
GCST90203098	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203098/harmonised/GCST90203098.h.tsv.gz	93104973	4402960	8783	0.001995	0	1	3539	44	5202	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203098_GCST90203098.filtered.tsv.gz	218160	sha256	9c3b7476d69c9dcaef59624eba66c027b0ab6a509cb72c39d617806f89a3df42	5.9	11.2	17.1
GCST90203099	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203099/harmonised/GCST90203099.h.tsv.gz	90773102	4439883	5311	0.001196	0	0	0	40	5271	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203099_GCST90203099.filtered.tsv.gz	147409	sha256	a4fffb022192d0a5912cef8ffda660bcadb3bcab0bd6f29acedc6d0003a88df9	6.6	11.4	17.9
GCST90203100	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203100/harmonised/GCST90203100.h.tsv.gz	87973306	4217016	4953	0.001175	0	0	0	25	4928	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203100_GCST90203100.filtered.tsv.gz	138155	sha256	b64ba2c4af15bb3d48c1f8cd99602958d41d6a2819be1351ec0d125dc83a76eb	6.1	11	17.1
GCST90203101	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203101/harmonised/GCST90203101.h.tsv.gz	84692926	4349863	5168	0.001188	0	0	0	27	5141	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203101_GCST90203101.filtered.tsv.gz	144018	sha256	e751936c3d1c781969ecd9a2188d5aab8e9183f5529fde8034be3226dd1aaa3e	6	10.5	16.5
GCST90203102	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90203001-GCST90204000/GCST90203102/harmonised/GCST90203102.h.tsv.gz	85927154	4253790	7824	0.001839	0	1	2841	28	4958	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-south-asian/filtered/GCST90203102_GCST90203102.filtered.tsv.gz	189546	sha256	02015c644150e665236790994b5ffd7e2161eb0a9ac12324026738832f806dd0	4.9	10.8	15.7
