analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90203093	GCST90203093	passed	""	source	""	0.976170492276285	estimated_from_source_maf	12189	12189	0	0	0	0	12189	0.01	0.5	0.976170492276285	0.0526840913764545	median implied SD=0.976, dispersion=0.053, n=12189	effect_scale_validation.R:v1
GCST90203094	GCST90203094	passed	""	source	""	1.00122310165044	estimated_from_source_maf	7906	7906	0	0	0	0	7906	0.01	0.5	1.00122310165044	0.05270314992108	median implied SD=1.001, dispersion=0.053, n=7906	effect_scale_validation.R:v1
GCST90203095	GCST90203095	passed	""	source	""	0.969189959850346	estimated_from_source_maf	4919	4919	0	0	0	0	4919	0.01	0.5	0.969189959850346	0.0659945567055191	median implied SD=0.969, dispersion=0.066, n=4919	effect_scale_validation.R:v1
GCST90203096	GCST90203096	passed	""	source	""	0.943320621021067	estimated_from_source_maf	5124	5124	0	0	0	0	5124	0.01	0.5	0.943320621021067	0.0565238896585383	median implied SD=0.943, dispersion=0.057, n=5124	effect_scale_validation.R:v1
GCST90203097	GCST90203097	passed	""	source	""	0.969911453985366	estimated_from_source_maf	8296	8296	0	0	0	0	8296	0.01	0.5	0.969911453985366	0.0513347785511381	median implied SD=0.970, dispersion=0.051, n=8296	effect_scale_validation.R:v1
GCST90203098	GCST90203098	passed	""	source	""	1.006427563181	estimated_from_source_maf	8783	8783	0	0	0	0	8783	0.01	0.5	1.006427563181	0.0542591846436823	median implied SD=1.006, dispersion=0.054, n=8783	effect_scale_validation.R:v1
GCST90203099	GCST90203099	passed	""	source	""	0.95502388276366	estimated_from_source_maf	5311	5311	0	0	0	0	5311	0.01	0.5	0.95502388276366	0.065045484907211	median implied SD=0.955, dispersion=0.065, n=5311	effect_scale_validation.R:v1
GCST90203100	GCST90203100	passed	""	source	""	0.994295745156096	estimated_from_source_maf	4953	4953	0	0	0	0	4953	0.01	0.5	0.994295745156096	0.0585197841929656	median implied SD=0.994, dispersion=0.059, n=4953	effect_scale_validation.R:v1
GCST90203101	GCST90203101	passed	""	source	""	0.926361749899018	estimated_from_source_maf	5168	5168	0	0	0	0	5168	0.01	0.5	0.926361749899018	0.0641380255414478	median implied SD=0.926, dispersion=0.064, n=5168	effect_scale_validation.R:v1
GCST90203102	GCST90203102	passed	""	source	""	0.969532876115082	estimated_from_source_maf	7824	7824	0	0	0	1	7823	0.01	0.5	0.969532876115082	0.0683910162676557	median implied SD=0.970, dispersion=0.068, n=7823	effect_scale_validation.R:v1
GCST90203103	GCST90203103	passed	""	source	""	0.999499982695376	estimated_from_source_maf	4995	4995	0	0	0	0	4995	0.01	0.5	0.999499982695376	0.053214152382186	median implied SD=0.999, dispersion=0.053, n=4995	effect_scale_validation.R:v1
GCST90203104	GCST90203104	passed	""	source	""	0.967893321505292	estimated_from_source_maf	5024	5024	0	0	0	0	5024	0.01	0.5	0.967893321505292	0.0542212733738958	median implied SD=0.968, dispersion=0.054, n=5024	effect_scale_validation.R:v1
GCST90203105	GCST90203105	passed	""	source	""	0.931301217041466	estimated_from_source_maf	4998	4998	0	0	0	0	4998	0.01	0.5	0.931301217041466	0.0528900223828264	median implied SD=0.931, dispersion=0.053, n=4998	effect_scale_validation.R:v1
GCST90203106	GCST90203106	passed	""	source	""	0.942534183166615	estimated_from_source_maf	4990	4990	0	0	0	0	4990	0.01	0.5	0.942534183166615	0.0523384108428251	median implied SD=0.943, dispersion=0.052, n=4990	effect_scale_validation.R:v1
GCST90203107	GCST90203107	passed	""	source	""	0.983149290637294	estimated_from_source_maf	12056	12056	0	0	0	0	12056	0.01	0.5	0.983149290637294	0.0543341082938854	median implied SD=0.983, dispersion=0.054, n=12056	effect_scale_validation.R:v1
GCST90203108	GCST90203108	passed	""	source	""	0.971540225337238	estimated_from_source_maf	4989	4989	0	0	0	0	4989	0.01	0.5	0.971540225337238	0.0528304772909566	median implied SD=0.972, dispersion=0.053, n=4989	effect_scale_validation.R:v1
GCST90203109	GCST90203109	passed	""	source	""	0.947287356540469	estimated_from_source_maf	5002	5002	0	0	0	0	5002	0.01	0.5	0.947287356540469	0.0530366645792331	median implied SD=0.947, dispersion=0.053, n=5002	effect_scale_validation.R:v1
GCST90203110	GCST90203110	passed	""	source	""	0.991138129918149	estimated_from_source_maf	15191	15191	0	0	0	0	15191	0.01	0.5	0.991138129918149	0.0498630901516613	median implied SD=0.991, dispersion=0.050, n=15191	effect_scale_validation.R:v1
GCST90203111	GCST90203111	passed	""	source	""	0.938507441404881	estimated_from_source_maf	5217	5217	0	0	0	0	5217	0.01	0.5	0.938507441404881	0.0587607818010558	median implied SD=0.939, dispersion=0.059, n=5217	effect_scale_validation.R:v1
GCST90203112	GCST90203112	passed	""	source	""	0.984899175645202	estimated_from_source_maf	20146	20146	0	0	0	0	20146	0.01	0.5	0.984899175645202	0.0499238031987815	median implied SD=0.985, dispersion=0.050, n=20146	effect_scale_validation.R:v1
GCST90203113	GCST90203113	passed	""	source	""	0.95605958180234	estimated_from_source_maf	5197	5197	0	0	0	0	5197	0.01	0.5	0.95605958180234	0.0548948570327576	median implied SD=0.956, dispersion=0.055, n=5197	effect_scale_validation.R:v1
GCST90203114	GCST90203114	passed	""	source	""	0.972148210847626	estimated_from_source_maf	9136	9136	0	0	0	0	9136	0.01	0.5	0.972148210847626	0.0509872214553777	median implied SD=0.972, dispersion=0.051, n=9136	effect_scale_validation.R:v1
GCST90203115	GCST90203115	passed	""	source	""	0.973514575999119	estimated_from_source_maf	4981	4981	0	0	0	0	4981	0.01	0.5	0.973514575999119	0.0526550722688073	median implied SD=0.974, dispersion=0.053, n=4981	effect_scale_validation.R:v1
GCST90203116	GCST90203116	passed	""	source	""	1.00262194727809	estimated_from_source_maf	4993	4993	0	0	0	0	4993	0.01	0.5	1.00262194727809	0.0524100241802578	median implied SD=1.003, dispersion=0.052, n=4993	effect_scale_validation.R:v1
GCST90203117	GCST90203117	passed	""	source	""	1.01256918880704	estimated_from_source_maf	12733	12733	0	0	0	0	12733	0.01	0.5	1.01256918880704	0.0538970237966557	median implied SD=1.013, dispersion=0.054, n=12733	effect_scale_validation.R:v1
GCST90203118	GCST90203118	passed	""	source	""	0.950772560532771	estimated_from_source_maf	7814	7814	0	0	0	0	7814	0.01	0.5	0.950772560532771	0.053435740379903	median implied SD=0.951, dispersion=0.053, n=7814	effect_scale_validation.R:v1
GCST90203119	GCST90203119	passed	""	source	""	0.955714473828822	estimated_from_source_maf	8273	8273	0	0	0	0	8273	0.01	0.5	0.955714473828822	0.0658026916135365	median implied SD=0.956, dispersion=0.066, n=8273	effect_scale_validation.R:v1
GCST90203120	GCST90203120	passed	""	source	""	0.998339942479934	estimated_from_source_maf	5091	5091	0	0	0	0	5091	0.01	0.5	0.998339942479934	0.0536146610491579	median implied SD=0.998, dispersion=0.054, n=5091	effect_scale_validation.R:v1
GCST90203121	GCST90203121	passed	""	source	""	0.987079575555058	estimated_from_source_maf	7207	7207	0	0	0	0	7207	0.01	0.5	0.987079575555058	0.0536542877403465	median implied SD=0.987, dispersion=0.054, n=7207	effect_scale_validation.R:v1
GCST90203122	GCST90203122	passed	""	source	""	0.945482253035655	estimated_from_source_maf	5019	5019	0	0	0	0	5019	0.01	0.5	0.945482253035655	0.0531089507084118	median implied SD=0.945, dispersion=0.053, n=5019	effect_scale_validation.R:v1
GCST90203123	GCST90203123	passed	""	source	""	0.979441285701897	estimated_from_source_maf	5062	5062	0	0	0	0	5062	0.01	0.5	0.979441285701897	0.053935269521877	median implied SD=0.979, dispersion=0.054, n=5062	effect_scale_validation.R:v1
GCST90203124	GCST90203124	passed	""	source	""	0.978531501573861	estimated_from_source_maf	5126	5126	0	0	0	0	5126	0.01	0.5	0.978531501573861	0.0546554408939295	median implied SD=0.979, dispersion=0.055, n=5126	effect_scale_validation.R:v1
GCST90203125	GCST90203125	passed	""	source	""	0.841108461299523	estimated_from_source_maf	5029	5029	0	0	0	0	5029	0.01	0.5	0.841108461299523	0.0523049384544784	median implied SD=0.841, dispersion=0.052, n=5029	effect_scale_validation.R:v1
GCST90203126	GCST90203126	passed	""	source	""	0.912045598682821	estimated_from_source_maf	5013	5013	0	0	0	0	5013	0.01	0.5	0.912045598682821	0.052438548661399	median implied SD=0.912, dispersion=0.052, n=5013	effect_scale_validation.R:v1
GCST90203127	GCST90203127	passed	""	source	""	0.975029254653379	estimated_from_source_maf	12674	12674	0	0	0	0	12674	0.01	0.5	0.975029254653379	0.059049705873765	median implied SD=0.975, dispersion=0.059, n=12674	effect_scale_validation.R:v1
GCST90203128	GCST90203128	passed	""	source	""	0.976008771698741	estimated_from_source_maf	5151	5151	0	0	0	0	5151	0.01	0.5	0.976008771698741	0.0549748967399163	median implied SD=0.976, dispersion=0.055, n=5151	effect_scale_validation.R:v1
GCST90203129	GCST90203129	passed	""	source	""	0.961029010655707	estimated_from_source_maf	5033	5033	0	0	0	0	5033	0.01	0.5	0.961029010655707	0.0532781535039616	median implied SD=0.961, dispersion=0.053, n=5033	effect_scale_validation.R:v1
GCST90203130	GCST90203130	passed	""	source	""	0.910377743956046	estimated_from_source_maf	5185	5185	0	0	0	0	5185	0.01	0.5	0.910377743956046	0.0562637701442882	median implied SD=0.910, dispersion=0.056, n=5185	effect_scale_validation.R:v1
GCST90203131	GCST90203131	passed	""	source	""	0.960919610363888	estimated_from_source_maf	7993	7993	0	0	0	0	7993	0.01	0.5	0.960919610363888	0.0485370016797383	median implied SD=0.961, dispersion=0.049, n=7993	effect_scale_validation.R:v1
GCST90203132	GCST90203132	passed	""	source	""	0.982153591689597	estimated_from_source_maf	5086	5086	0	0	0	0	5086	0.01	0.5	0.982153591689597	0.0528853628676152	median implied SD=0.982, dispersion=0.053, n=5086	effect_scale_validation.R:v1
GCST90203133	GCST90203133	passed	""	source	""	0.986789652966139	estimated_from_source_maf	4991	4991	0	0	0	0	4991	0.01	0.5	0.986789652966139	0.0528276054473172	median implied SD=0.987, dispersion=0.053, n=4991	effect_scale_validation.R:v1
GCST90203134	GCST90203134	passed	""	source	""	0.959358514974473	estimated_from_source_maf	4992	4992	0	0	0	0	4992	0.01	0.5	0.959358514974473	0.052578155396554	median implied SD=0.959, dispersion=0.053, n=4992	effect_scale_validation.R:v1
GCST90203135	GCST90203135	passed	""	source	""	0.859248433775794	estimated_from_source_maf	8219	8219	0	0	0	0	8219	0.01	0.5	0.859248433775794	0.0564672901683286	median implied SD=0.859, dispersion=0.056, n=8219	effect_scale_validation.R:v1
