analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90201021	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201021/harmonised/GCST90201021.h.tsv.gz	150934858	7317643	5094	0.000696	0	1	5034	60	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201021_GCST90201021.filtered.tsv.gz	104163	sha256	de3ef3c40e52a23f506d55cdf566dd9641987524a55568c0d1a2ee7adf9f4e05	4.9	20.8	25.7
GCST90201022	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201022/harmonised/GCST90201022.h.tsv.gz	157606464	7278494	6260	0.00086	0	1	6194	66	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201022_GCST90201022.filtered.tsv.gz	124032	sha256	63190fe3298c86f9d18846dfcf6a92db7281508b5715094e7e86ccf851ee99c5	11.6	16.8	28.4
GCST90201023	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201023/harmonised/GCST90201023.h.tsv.gz	151590595	7378767	5302	0.000719	0	1	5220	82	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201023_GCST90201023.filtered.tsv.gz	103408	sha256	e1be0a1632eb08fcd458b9013ba330de7ceaff1fe6e32f6912f060d6d347d023	3	14.7	17.7
GCST90201024	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201024/harmonised/GCST90201024.h.tsv.gz	157486824	7278494	67	9e-06	0	0	0	67	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201024_GCST90201024.filtered.tsv.gz	2269	sha256	8ee35de8486520e5af06341fc70db407708ba4c748c4655fb1a6361664340f9b	3.9	16.5	20.4
GCST90201025	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201025/harmonised/GCST90201025.h.tsv.gz	157569458	7278494	16268	0.002235	0	3	16187	81	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201025_GCST90201025.filtered.tsv.gz	332822	sha256	224d21b1a334f1a0dd1863c21436ec18f8d5f6ad2a4d7aefb3c64a04eede565c	6.6	16.7	23.3
GCST90201026	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201026/harmonised/GCST90201026.h.tsv.gz	145915067	7212352	92	1.3e-05	0	0	0	92	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201026_GCST90201026.filtered.tsv.gz	3028	sha256	6528e009226db289fdaa3caabd6d986a3fdef3b03d473c536fea186f09100032	6.6	14.9	21.5
GCST90201027	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201027/harmonised/GCST90201027.h.tsv.gz	150342549	7278494	18624	0.002559	0	3	18531	93	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201027_GCST90201027.filtered.tsv.gz	388932	sha256	604ca70d5f9293d5f8d19ee4097bcc95ce26821082b805d5a378ad4b8c58e90f	4.7	15.9	20.6
GCST90201028	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201028/harmonised/GCST90201028.h.tsv.gz	160148643	7489150	35021	0.004676	0	6	34868	153	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201028_GCST90201028.filtered.tsv.gz	684468	sha256	b10d04532698b6fee50e2344ef06c1b0dd51f7eb1610b19dce5951058c49d45d	5.6	18.2	23.8
GCST90201029	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201029/harmonised/GCST90201029.h.tsv.gz	150342712	7278494	6953	0.000955	0	1	6802	151	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201029_GCST90201029.filtered.tsv.gz	141446	sha256	376f514b57f2bc1c1a8e8786267aee1d2d129ebb7ab9be31b6f7b733ed860e89	6.3	16.1	22.4
GCST90201030	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90201001-GCST90202000/GCST90201030/harmonised/GCST90201030.h.tsv.gz	160234032	7461308	22717	0.003045	0	4	22608	109	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90201030_GCST90201030.filtered.tsv.gz	442084	sha256	d1e3662da414df22b1a51064b8d999fcc088e20f391ff5d30d920549693c45ed	8.2	17	25.3
