analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90201021	GCST90201021	passed	""	source	""	0.962621207627282	estimated_from_source_maf	5094	5094	0	0	0	0	5094	0.01	0.5	0.962621207627282	0.061900452345585	median implied SD=0.963, dispersion=0.062, n=5094	effect_scale_validation.R:v1
GCST90201022	GCST90201022	passed	""	source	""	0.963160559723484	estimated_from_source_maf	6260	6260	0	0	0	0	6260	0.01	0.5	0.963160559723484	0.0760578528947769	median implied SD=0.963, dispersion=0.076, n=6260	effect_scale_validation.R:v1
GCST90201023	GCST90201023	passed	""	source	""	0.83463627757223	estimated_from_source_maf	5302	5302	0	0	0	0	5302	0.01	0.5	0.83463627757223	0.0615511480671513	median implied SD=0.835, dispersion=0.062, n=5302	effect_scale_validation.R:v1
GCST90201024	GCST90201024	passed	""	source	""	0.737726062033196	estimated_from_source_maf	67	67	0	0	0	0	67	0.01	0.5	0.737726062033196	0.0469427927153614	median implied SD=0.738, dispersion=0.047, n=67	effect_scale_validation.R:v1
GCST90201025	GCST90201025	passed	""	source	""	0.942800737798964	estimated_from_source_maf	16268	16268	0	0	0	0	16268	0.01	0.5	0.942800737798964	0.0567228577216303	median implied SD=0.943, dispersion=0.057, n=16268	effect_scale_validation.R:v1
GCST90201026	GCST90201026	passed	""	source	""	0.717960454032491	estimated_from_source_maf	92	92	0	0	0	0	92	0.01	0.5	0.717960454032491	0.056477683913377	median implied SD=0.718, dispersion=0.056, n=92	effect_scale_validation.R:v1
GCST90201027	GCST90201027	passed	""	source	""	0.971462414748505	estimated_from_source_maf	18624	18624	0	0	0	0	18624	0.01	0.5	0.971462414748505	0.0579031680921653	median implied SD=0.971, dispersion=0.058, n=18624	effect_scale_validation.R:v1
GCST90201028	GCST90201028	passed	""	source	""	0.973107043232065	estimated_from_source_maf	35021	35021	0	0	0	0	35021	0.01	0.5	0.973107043232065	0.0619279696856027	median implied SD=0.973, dispersion=0.062, n=35021	effect_scale_validation.R:v1
GCST90201029	GCST90201029	passed	""	source	""	0.969049065529406	estimated_from_source_maf	6953	6953	0	0	0	0	6953	0.01	0.5	0.969049065529406	0.0682111360518291	median implied SD=0.969, dispersion=0.068, n=6953	effect_scale_validation.R:v1
GCST90201030	GCST90201030	passed	""	source	""	0.870708132257206	estimated_from_source_maf	22717	22717	0	0	0	0	22717	0.01	0.5	0.870708132257206	0.0608713789557204	median implied SD=0.871, dispersion=0.061, n=22717	effect_scale_validation.R:v1
GCST90201031	GCST90201031	passed	""	source	""	0.892635179439007	estimated_from_source_maf	30633	30633	0	0	0	0	30633	0.01	0.5	0.892635179439007	0.064925808116899	median implied SD=0.893, dispersion=0.065, n=30633	effect_scale_validation.R:v1
GCST90201032	GCST90201032	passed	""	source	""	0.82552642049301	estimated_from_source_maf	127	127	0	0	0	0	127	0.01	0.5	0.82552642049301	0.0527871502742682	median implied SD=0.826, dispersion=0.053, n=127	effect_scale_validation.R:v1
GCST90201033	GCST90201033	passed	""	source	""	0.965326203789541	estimated_from_source_maf	43279	43279	0	0	0	1	43278	0.01	0.5	0.965326203789541	0.058567183328593	median implied SD=0.965, dispersion=0.059, n=43278	effect_scale_validation.R:v1
GCST90201034	GCST90201034	passed	""	source	""	0.741793783540371	estimated_from_source_maf	20035	20035	0	0	0	0	20035	0.01	0.5	0.741793783540371	0.0758213413952769	median implied SD=0.742, dispersion=0.076, n=20035	effect_scale_validation.R:v1
GCST90201035	GCST90201035	passed	""	source	""	0.962936415760083	estimated_from_source_maf	26090	26090	0	0	0	0	26090	0.01	0.5	0.962936415760083	0.0575421995513398	median implied SD=0.963, dispersion=0.058, n=26090	effect_scale_validation.R:v1
GCST90201036	GCST90201036	passed	""	source	""	0.912512493707187	estimated_from_source_maf	18206	18206	0	0	0	0	18206	0.01	0.5	0.912512493707187	0.0672529125915745	median implied SD=0.913, dispersion=0.067, n=18206	effect_scale_validation.R:v1
GCST90201037	GCST90201037	passed	""	source	""	0.903959420416419	estimated_from_source_maf	54125	54125	0	0	0	0	54125	0.01	0.5	0.903959420416419	0.0639245848737392	median implied SD=0.904, dispersion=0.064, n=54125	effect_scale_validation.R:v1
GCST90201038	GCST90201038	passed	""	source	""	0.775175902475569	estimated_from_source_maf	83	83	0	0	0	0	83	0.01	0.5	0.775175902475569	0.0554516632687269	median implied SD=0.775, dispersion=0.055, n=83	effect_scale_validation.R:v1
GCST90201039	GCST90201039	passed	""	source	""	0.928332892772913	estimated_from_source_maf	140022	140022	0	0	0	0	140022	0.01	0.5	0.928332892772913	0.0666132255903124	median implied SD=0.928, dispersion=0.067, n=140022	effect_scale_validation.R:v1
GCST90201040	GCST90201040	passed	""	source	""	0.788940379688925	estimated_from_source_maf	60	60	0	0	0	0	60	0.01	0.5	0.788940379688925	0.0614563736214185	median implied SD=0.789, dispersion=0.061, n=60	effect_scale_validation.R:v1
GCST90202055	GCST90202055	passed	""	source	""	0.864694235886149	estimated_from_source_maf	20	20	0	0	0	0	20	0.01	0.5	0.864694235886149	0.0524450425158406	median implied SD=0.865, dispersion=0.052, n=20	effect_scale_validation.R:v1
GCST90202056	GCST90202056	passed	""	source	""	0.882980802880542	estimated_from_source_maf	21	21	0	0	0	0	21	0.01	0.5	0.882980802880542	0.0370359022058686	median implied SD=0.883, dispersion=0.037, n=21	effect_scale_validation.R:v1
GCST90202057	GCST90202057	skipped	low_overlap	source	""		unavailable	18	18	0	0	0	0	18	0.01	0.5	0.857885252626251	0.0466118804350458	low_overlap (median implied SD=0.858, dispersion=0.047, n=18)	effect_scale_validation.R:v1
GCST90202058	GCST90202058	passed	""	source	""	0.801993770748422	estimated_from_source_maf	28	28	0	0	0	0	28	0.01	0.5	0.801993770748422	0.0396669386533597	median implied SD=0.802, dispersion=0.040, n=28	effect_scale_validation.R:v1
GCST90202059	GCST90202059	passed	""	source	""	0.860128733651039	estimated_from_source_maf	22	22	0	0	0	0	22	0.01	0.5	0.860128733651039	0.0606290991104912	median implied SD=0.860, dispersion=0.061, n=22	effect_scale_validation.R:v1
GCST90202060	GCST90202060	passed	""	source	""	0.961834420711241	estimated_from_source_maf	7211	7211	0	0	0	0	7211	0.01	0.5	0.961834420711241	0.0615276773497431	median implied SD=0.962, dispersion=0.062, n=7211	effect_scale_validation.R:v1
GCST90202061	GCST90202061	skipped	low_overlap	source	""		unavailable	15	15	0	0	0	0	15	0.01	0.5	0.903567403228259	0.0388305992245836	low_overlap (median implied SD=0.904, dispersion=0.039, n=15)	effect_scale_validation.R:v1
GCST90202062	GCST90202062	skipped	low_overlap	source	""		unavailable	15	15	0	0	0	0	15	0.01	0.5	0.811262551040611	0.0387969341693067	low_overlap (median implied SD=0.811, dispersion=0.039, n=15)	effect_scale_validation.R:v1
GCST90202063	GCST90202063	passed	""	source	""	0.799068434560006	estimated_from_source_maf	23	23	0	0	0	0	23	0.01	0.5	0.799068434560006	0.0425947448982936	median implied SD=0.799, dispersion=0.043, n=23	effect_scale_validation.R:v1
GCST90202064	GCST90202064	skipped	low_overlap	source	""		unavailable	15	15	0	0	0	0	15	0.01	0.5	0.826696953007238	0.076753846419009	low_overlap (median implied SD=0.827, dispersion=0.077, n=15)	effect_scale_validation.R:v1
GCST90202065	GCST90202065	passed	""	source	""	1.00954324486735	estimated_from_source_maf	3707	3707	0	0	0	0	3707	0.01	0.5	1.00954324486735	0.0592989122916977	median implied SD=1.010, dispersion=0.059, n=3707	effect_scale_validation.R:v1
GCST90202066	GCST90202066	passed	""	source	""	0.986167906156177	estimated_from_source_maf	2908	2908	0	0	0	0	2908	0.01	0.5	0.986167906156177	0.045014424710148	median implied SD=0.986, dispersion=0.045, n=2908	effect_scale_validation.R:v1
