analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST005806	GCST005806	passed	""	reference	ukb-hg38-eur-af		declared_standardised	14894	13457	1911	594	0	1105	9847	0.01	0.5	1.00624861546067	0.021734351120787	median implied SD=1.006, dispersion=0.022, n=9847	effect_scale_validation.R:v1
GCST90240120	GCST90240120	passed	""	reference	ukb-hg38-eur-af		declared_standardised	6384	5695	793	242	0	501	4159	0.01	0.5	1.00766758989333	0.0231219346953461	median implied SD=1.008, dispersion=0.023, n=4159	effect_scale_validation.R:v1
GCST90240121	GCST90240121	passed	""	reference	ukb-hg38-eur-af		declared_standardised	17667	15358	2199	604	0	1045	11510	0.01	0.5	1.00899666957062	0.0236119944140129	median implied SD=1.009, dispersion=0.024, n=11510	effect_scale_validation.R:v1
GCST90240122	GCST90240122	passed	""	reference	ukb-hg38-eur-af		declared_standardised	9535	8135	1051	326	0	514	6244	0.01	0.5	1.01024180918313	0.0227120845322929	median implied SD=1.010, dispersion=0.023, n=6244	effect_scale_validation.R:v1
GCST90240123	GCST90240123	passed	""	reference	ukb-hg38-eur-af		declared_standardised	19018	16426	2315	737	0	990	12384	0.01	0.5	1.00958624232704	0.0229514798453609	median implied SD=1.010, dispersion=0.023, n=12384	effect_scale_validation.R:v1
GCST90240124	GCST90240124	passed	""	reference	ukb-hg38-eur-af		declared_standardised	23551	21219	2866	841	0	1360	16152	0.01	0.5	1.00797702955215	0.0214136847266395	median implied SD=1.008, dispersion=0.021, n=16152	effect_scale_validation.R:v1
GCST90240125	GCST90240125	passed	""	reference	ukb-hg38-eur-af		declared_standardised	8142	7328	911	319	0	435	5663	0.01	0.5	1.00663859585036	0.0192530091853149	median implied SD=1.007, dispersion=0.019, n=5663	effect_scale_validation.R:v1
GCST90240126	GCST90240126	passed	""	reference	ukb-hg38-eur-af		declared_standardised	23662	20744	2980	811	0	1556	15397	0.01	0.5	1.00945627502911	0.0240057859028734	median implied SD=1.009, dispersion=0.024, n=15397	effect_scale_validation.R:v1
GCST90240127	GCST90240127	passed	""	reference	ukb-hg38-eur-af		declared_standardised	29364	26035	3636	1069	0	1673	19657	0.01	0.5	1.00962387474955	0.0226316187143449	median implied SD=1.010, dispersion=0.023, n=19657	effect_scale_validation.R:v1
GCST90240128	GCST90240128	passed	""	reference	ukb-hg38-eur-af		declared_standardised	50586	36934	5109	1476	0	2238	28111	0.01	0.5	1.00246566954353	0.0181135967510792	median implied SD=1.002, dispersion=0.018, n=28111	effect_scale_validation.R:v1
GCST90240129	GCST90240129	passed	""	reference	ukb-hg38-eur-af		declared_standardised	39903	28967	4106	1218	0	2041	21602	0.01	0.5	1.00257499379556	0.0204352202289835	median implied SD=1.003, dispersion=0.020, n=21602	effect_scale_validation.R:v1
GCST90240130	GCST90240130	passed	""	reference	ukb-hg38-eur-af		declared_standardised	16429	14098	1998	539	0	836	10725	0.01	0.5	1.00734200861757	0.0252359116040484	median implied SD=1.007, dispersion=0.025, n=10725	effect_scale_validation.R:v1
GCST90240131	GCST90240131	passed	""	reference	ukb-hg38-eur-af		declared_standardised	5980	5254	715	243	0	407	3889	0.01	0.5	1.00355002357804	0.017819272930516	median implied SD=1.004, dispersion=0.018, n=3889	effect_scale_validation.R:v1
GCST90240132	GCST90240132	passed	""	reference	ukb-hg38-eur-af		declared_standardised	15844	13786	1929	579	0	1087	10191	0.01	0.5	1.00457651282771	0.0224811519592994	median implied SD=1.005, dispersion=0.022, n=10191	effect_scale_validation.R:v1
