analysis_id	field	value	method	evidence	notes
ukb-b-10001	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=6661;n_controls=456349	
ukb-b-10001	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10002	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3177;n_controls=28140	
ukb-b-10002	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10003	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2810;n_controls=460123	
ukb-b-10003	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10008	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=13851;n_controls=449082	
ukb-b-10008	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10011	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10011	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1004	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-1004	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10054	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=29408;n_controls=35541	
ukb-b-10054	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10056	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3701;n_controls=459309	
ukb-b-10056	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10061	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1824;n_controls=461186	
ukb-b-10061	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10066	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=8438;n_controls=142204	
ukb-b-10066	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10070	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1070;n_controls=461940	
ukb-b-10070	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10073	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1099;n_controls=63850	
ukb-b-10073	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10093	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=78408;n_controls=369553	
ukb-b-10093	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10097	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3976;n_controls=458957	
ukb-b-10097	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10098	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2577;n_controls=460356	
ukb-b-10098	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10102	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3424;n_controls=459586	
ukb-b-10102	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10143	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2865;n_controls=457891	
ukb-b-10143	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10144	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2241;n_controls=460769	
ukb-b-10144	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10145	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1101;n_controls=461909	
ukb-b-10145	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1016	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1053;n_controls=461957	
ukb-b-1016	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10162	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10162	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10164	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1169;n_controls=461841	
ukb-b-10164	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10167	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=11330;n_controls=451603	
ukb-b-10167	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10169	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=129383;n_controls=321321	
ukb-b-10169	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10181	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2940;n_controls=147702	
ukb-b-10181	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10188	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=19395;n_controls=440956	
ukb-b-10188	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1020	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3490;n_controls=459520	
ukb-b-1020	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10202	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2357;n_controls=460653	
ukb-b-10202	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1021	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=13359;n_controls=449574	
ukb-b-1021	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10212	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=5524;n_controls=438797	
ukb-b-10212	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10215	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10215	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10217	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10217	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10224	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1909;n_controls=461024	
ukb-b-10224	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10248	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=6034;n_controls=456976	
ukb-b-10248	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10250	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
