analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-10001	ukb-b-10001	Operative procedures - secondary OPCS: Z84.6 Knee joint			/local-scratch/data/opengwas/igd/ukb-b-10001/ukb-b-10001.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10002	ukb-b-10002	Manic/hyper symptoms: All of the above			/local-scratch/data/opengwas/igd/ukb-b-10002/ukb-b-10002.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	31317				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10003	ukb-b-10003	Treatment/medication code: becotide 50 inhaler			/local-scratch/data/opengwas/igd/ukb-b-10003/ukb-b-10003.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10008	ukb-b-10008	Treatment/medication code: atorvastatin			/local-scratch/data/opengwas/igd/ukb-b-10008/ukb-b-10008.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10011	ukb-b-10011	Townsend deprivation index at recruitment			/local-scratch/data/opengwas/igd/ukb-b-10011/ukb-b-10011.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462464				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1004	ukb-b-1004	Added milk to espresso			/local-scratch/data/opengwas/igd/ukb-b-1004/ukb-b-1004.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10054	ukb-b-10054	Cheese consumers			/local-scratch/data/opengwas/igd/ukb-b-10054/ukb-b-10054.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10056	ukb-b-10056	PCT responsible for patient data: NORTH TYNESIDE PCT			/local-scratch/data/opengwas/igd/ukb-b-10056/ukb-b-10056.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10061	ukb-b-10061	Diagnoses - secondary ICD10: Z50.1 Other physical therapy			/local-scratch/data/opengwas/igd/ukb-b-10061/ukb-b-10061.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10066	ukb-b-10066	Eye problems/disorders: Other serious eye condition			/local-scratch/data/opengwas/igd/ukb-b-10066/ukb-b-10066.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	150642				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10070	ukb-b-10070	PCT responsible for patient data: BUCKINGHAMSHIRE PCT			/local-scratch/data/opengwas/igd/ukb-b-10070/ukb-b-10070.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10073	ukb-b-10073	Type of baguette eaten: wholemeal			/local-scratch/data/opengwas/igd/ukb-b-10073/ukb-b-10073.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10093	ukb-b-10093	Tense / 'highly strung'			/local-scratch/data/opengwas/igd/ukb-b-10093/ukb-b-10093.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	447961				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10097	ukb-b-10097	Operation code: skin operation or plastic surgery			/local-scratch/data/opengwas/igd/ukb-b-10097/ukb-b-10097.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10098	ukb-b-10098	Non-cancer illness code, self-reported: iron deficiency anaemia			/local-scratch/data/opengwas/igd/ukb-b-10098/ukb-b-10098.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10102	ukb-b-10102	Diagnoses - main ICD10: Z09.0 Follow-up examination after surgery for other conditions			/local-scratch/data/opengwas/igd/ukb-b-10102/ukb-b-10102.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10143	ukb-b-10143	Destinations on discharge from hospital (recoded): Usual Place of residence: Living alone			/local-scratch/data/opengwas/igd/ukb-b-10143/ukb-b-10143.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	460756				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10144	ukb-b-10144	Diagnoses - secondary ICD10: K21.0 Gastro-oesophageal reflux disease with oesophagitis			/local-scratch/data/opengwas/igd/ukb-b-10144/ukb-b-10144.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10145	ukb-b-10145	PCT where patients GP was registered: NORTH BRADFORD PCT			/local-scratch/data/opengwas/igd/ukb-b-10145/ukb-b-10145.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1016	ukb-b-1016	Operative procedures - main OPCS: M29.3 Endoscopic removal of tubal prosthesis from ureter			/local-scratch/data/opengwas/igd/ukb-b-1016/ukb-b-1016.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10162	ukb-b-10162	Job involve night shift work			/local-scratch/data/opengwas/igd/ukb-b-10162/ukb-b-10162.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	43440				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10164	ukb-b-10164	Operative procedures - main OPCS: X31.2 Intravenous pyelography			/local-scratch/data/opengwas/igd/ukb-b-10164/ukb-b-10164.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10167	ukb-b-10167	Operation code: vasectomy			/local-scratch/data/opengwas/igd/ukb-b-10167/ukb-b-10167.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
